winner,target,hand cards,used cards
AI-origin,3,3 3 3 3 3 4 5 7 7 7 7 8 8 8 10 10 J J 2 2 2 2, 
AI-origin,2,3 3 3 3 3 4 5 7 7 7 7 10 10 J J 2 2 2 2, J Q K A 2 
AI-origin,0,3 3 3 3 3 5 7 7 7 7 10 10 J J 2 2 2 2, J Q K A 2 8 8 8 
AI-origin,1,7 7 7 7 2 2 2 2, J Q K A 2 8 8 8 4 3 9 9 9 9 9 8 8 4 4 4 5 5 10 10 10 6 6 
AI-origin,5,2 2 2 2, J Q K A 2 8 8 8 4 3 9 9 9 9 9 8 8 4 4 4 5 5 10 10 10 6 6 J J 
AI-origin,7,4 4 6 6 7 7 7 9 9 9 10 10 10 10 J Q K, 10 10 10 10 
AI-origin,7,10 10 10 10 J Q K, 10 10 10 10 5 5 5 3 3 
AI-origin,0,K, 10 10 10 10 5 5 5 3 3 9 9 9 6 6 8 8 K K K 4 
AI-origin,7,6 6 6 7 7 7 8 8 9 9 10 J Q Q Q K K K A A 2 2, 
AI-origin,6,8 8 9 9 10 J Q Q Q K K K A A 2 2, 5 5 5 4 4 
AI-origin,6,8 8 9 9 10 J A A 2 2, 5 5 5 4 4 6 6 6 7 7 7 
AI-origin,0,8 8 9 9 J A A 2 2, 5 5 5 4 4 6 6 6 7 7 7 Q Q Q K K K 
AI-origin,1,9 9 A A 2 2, 5 5 5 4 4 6 6 6 7 7 7 Q Q Q K K K 10 K K A A 2 2 5 5 5 6 6 6 9 9 9 4 4 4 3 3 3 
AI-origin,7,5 5 6 6 6 6 8 8 8 8 9 9 10 10 Q Q Q Q A A 2 2, 
AI-origin,1,6 6 6 6 8 8 8 8 9 9 10 10 Q Q Q Q A A 2 2, K K K 4 4 
AI-origin,1,6 6 6 6 Q Q Q Q 2 2, K K K 4 4 5 5 J J J 3 3 5 6 7 8 9 10 7 7 7 7 
AI-origin,5,Q Q Q Q, K K K 4 4 5 5 J J J 3 3 5 6 7 8 9 10 7 7 7 7 10 10 
AI-origin,5,, K K K 4 4 5 5 J J J 3 3 5 6 7 8 9 10 7 7 7 7 10 10 6 6 6 6 
AI-origin,7,5 5 7 8 8 9 9 10 10 10 10 Q A A A, 10 10 Q Q Q Q 
AI-origin,0,8 8 9 9 10 10 10 10 Q, 10 10 Q Q Q Q 3 3 3 4 4 
AI-origin,1,9 9 10 10 10 10, 10 10 Q Q Q Q 3 3 3 4 4 7 
